ADANIENT | ROE | Calculated=8.53 | Source=13.64 | Difference=5.11 | Category=Version difference
ADANIGREEN | ROCE | Calculated=7.26 | Source=96.50 | Difference=89.24 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-3.91 | Source=14.70 | Difference=18.61 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=7.52 | Source=96.50 | Difference=88.98 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-10.29 | Source=14.70 | Difference=24.99 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=11.67 | Source=96.50 | Difference=84.83 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-24.57 | Source=14.70 | Difference=39.27 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.42 | Source=96.50 | Difference=88.08 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=-2.89 | Source=14.70 | Difference=17.59 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.49 | Source=96.50 | Difference=88.01 | Category=Formula discrepancy
ADANIGREEN | ROE | Calculated=8.27 | Source=14.70 | Difference=6.43 | Category=Version difference
ADANIGREEN | ROCE | Calculated=6.33 | Source=96.50 | Difference=90.17 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=8.08 | Source=96.50 | Difference=88.42 | Category=Formula discrepancy
ADANIGREEN | ROCE | Calculated=9.80 | Source=96.50 | Difference=86.70 | Category=Formula discrepancy
ADANIPORTS | ROE | Calculated=25.63 | Source=18.10 | Difference=7.53 | Category=Version difference
ADANIPORTS | ROE | Calculated=25.63 | Source=18.10 | Difference=7.53 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.84 | Source=18.10 | Difference=6.26 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.84 | Source=18.10 | Difference=6.26 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.88 | Source=18.10 | Difference=6.22 | Category=Version difference
ADANIPORTS | ROE | Calculated=11.88 | Source=18.10 | Difference=6.22 | Category=Version difference
ADANIPOWER | ROCE | Calculated=2.08 | Source=32.20 | Difference=30.12 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-53.46 | Source=57.10 | Difference=110.56 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.06 | Source=32.20 | Difference=23.14 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-4.45 | Source=57.10 | Difference=61.55 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.27 | Source=32.20 | Difference=22.93 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-14.25 | Source=57.10 | Difference=71.35 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=14.62 | Source=32.20 | Difference=17.58 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=7.38 | Source=57.10 | Difference=49.72 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=10.78 | Source=32.20 | Difference=21.42 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-205.80 | Source=57.10 | Difference=262.90 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=10.12 | Source=32.20 | Difference=22.08 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-236.56 | Source=57.10 | Difference=293.66 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.11 | Source=32.20 | Difference=23.09 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-12.76 | Source=57.10 | Difference=69.86 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=9.30 | Source=32.20 | Difference=22.90 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=-35.10 | Source=57.10 | Difference=92.20 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=13.24 | Source=32.20 | Difference=18.96 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=9.69 | Source=57.10 | Difference=47.41 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=14.62 | Source=32.20 | Difference=17.58 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=26.61 | Source=57.10 | Difference=30.49 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=13.98 | Source=32.20 | Difference=18.22 | Category=Formula discrepancy
ADANIPOWER | ROE | Calculated=35.91 | Source=57.10 | Difference=21.19 | Category=Formula discrepancy
ADANIPOWER | ROCE | Calculated=23.44 | Source=32.20 | Difference=8.76 | Category=Version difference
ADANIPOWER | ROE | Calculated=48.28 | Source=57.10 | Difference=8.82 | Category=Version difference
AMBUJACEM | ROCE | Calculated=27.92 | Source=12.80 | Difference=15.12 | Category=Formula discrepancy
AMBUJACEM | ROE | Calculated=14.69 | Source=9.24 | Difference=5.45 | Category=Version difference
AMBUJACEM | ROCE | Calculated=19.14 | Source=12.80 | Difference=6.34 | Category=Version difference
AMBUJACEM | ROE | Calculated=14.77 | Source=9.24 | Difference=5.53 | Category=Version difference
AMBUJACEM | ROCE | Calculated=18.64 | Source=12.80 | Difference=5.84 | Category=Version difference
AMBUJACEM | ROCE | Calculated=17.90 | Source=12.80 | Difference=5.10 | Category=Version difference
AMBUJACEM | ROCE | Calculated=19.06 | Source=12.80 | Difference=6.26 | Category=Version difference
AMBUJACEM | ROCE | Calculated=21.55 | Source=12.80 | Difference=8.75 | Category=Version difference
AMBUJACEM | ROCE | Calculated=24.04 | Source=12.80 | Difference=11.24 | Category=Formula discrepancy
AMBUJACEM | ROE | Calculated=14.64 | Source=9.24 | Difference=5.40 | Category=Version difference
APOLLOHOSP | ROCE | Calculated=11.09 | Source=17.20 | Difference=6.11 | Category=Version difference
APOLLOHOSP | ROE | Calculated=7.05 | Source=13.81 | Difference=6.76 | Category=Version difference
APOLLOHOSP | ROCE | Calculated=11.40 | Source=17.20 | Difference=5.80 | Category=Version difference
APOLLOHOSP | ROE | Calculated=3.95 | Source=13.81 | Difference=9.86 | Category=Version difference
APOLLOHOSP | ROCE | Calculated=11.99 | Source=17.20 | Difference=5.21 | Category=Version difference
APOLLOHOSP | ROE | Calculated=1.85 | Source=13.81 | Difference=11.96 | Category=Formula discrepancy
APOLLOHOSP | ROE | Calculated=6.00 | Source=13.81 | Difference=7.81 | Category=Version difference
APOLLOHOSP | ROCE | Calculated=22.94 | Source=17.20 | Difference=5.74 | Category=Version difference
APOLLOHOSP | ROE | Calculated=2.98 | Source=13.81 | Difference=10.83 | Category=Formula discrepancy
APOLLOHOSP | ROCE | Calculated=22.59 | Source=17.20 | Difference=5.39 | Category=Version difference
APOLLOHOSP | ROE | Calculated=19.70 | Source=13.81 | Difference=5.89 | Category=Version difference
ASIANPAINT | ROCE | Calculated=47.79 | Source=41.75 | Difference=6.04 | Category=Version difference
ASIANPAINT | ROCE | Calculated=47.79 | Source=41.75 | Difference=6.04 | Category=Version difference
ASIANPAINT | ROCE | Calculated=36.67 | Source=41.75 | Difference=5.08 | Category=Version difference
ASIANPAINT | ROCE | Calculated=36.67 | Source=41.75 | Difference=5.08 | Category=Version difference
ASIANPAINT | ROCE | Calculated=35.83 | Source=41.75 | Difference=5.92 | Category=Version difference
ASIANPAINT | ROE | Calculated=24.95 | Source=31.45 | Difference=6.50 | Category=Version difference
ASIANPAINT | ROCE | Calculated=35.83 | Source=41.75 | Difference=5.92 | Category=Version difference
ASIANPAINT | ROE | Calculated=24.95 | Source=31.45 | Difference=6.50 | Category=Version difference
