cluster_id,cluster_name,company_count,return_on_equity_pct_mean,return_on_equity_pct_median,debt_to_equity_mean,debt_to_equity_median,revenue_cagr_5yr_mean,revenue_cagr_5yr_median,fcf_cagr_5yr_mean,fcf_cagr_5yr_median,operating_profit_margin_pct_mean,operating_profit_margin_pct_median
0,Value / Moderate,60,22.715254237288136,17.07,0.6035593220338983,0.22,10.736440677966103,10.34,10.794735376885834,13.814112331981754,19.92241379310345,19.095
1,High Quality Compounders,14,78.21571428571428,14.68,0.7021428571428571,0.07,13.033846153846154,12.91,19.383302289615095,19.734652020172526,81.41785714285713,85.095
2,Weak / High Risk,15,17.469285714285714,16.275,7.485,6.835,19.242142857142852,18.369999999999997,-6.349164667486179,-6.349164667486179,51.14142857142857,38.019999999999996
3,Growth Leaders,2,4280.3150000000005,4280.3150000000005,0.565,0.565,9.73,9.73,,,28.505000000000003,28.505000000000003
4,Balanced Performers,1,15.55,15.55,0.02,0.02,9.51,9.51,228.75036590344516,228.75036590344516,75.59,75.59
