company_id,from_year,to_year,previous_pattern,new_pattern,change
HDFCBANK,2014,2015,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
HDFCBANK,2016,2017,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
HDFCBANK,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
HDFCBANK,2018,2019,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
HDFCBANK,2020,2021,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
HDFCBANK,2021,2022,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
HDFCBANK,2022,2023,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
HDFCBANK,2023,2024,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
HDFCLIFE,2014,2015,Pre-Revenue,Reinvestor,Pre-Revenue -> Reinvestor
HDFCLIFE,2019,2020,Reinvestor,Mixed,Reinvestor -> Mixed
HDFCLIFE,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
HDFCLIFE,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
HDFCLIFE,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
HEROMOTOCO,2014,2015,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
HEROMOTOCO,2015,2016,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
HEROMOTOCO,2018,2019,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
HEROMOTOCO,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
HINDALCO,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
HINDALCO,2017,2018,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDALCO,2018,2019,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
HINDALCO,2019,2020,Reinvestor,Mixed,Reinvestor -> Mixed
HINDALCO,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
HINDUNILVR,2013,2014,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
HINDUNILVR,2014,2015,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDUNILVR,2015,2016,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
HINDUNILVR,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
HINDUNILVR,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ICICIBANK,2014,2015,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
ICICIBANK,2015,2016,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
ICICIBANK,2016,2017,Mixed,Reinvestor,Mixed -> Reinvestor
ICICIBANK,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
ICICIBANK,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
ICICIBANK,2019,2020,Reinvestor,Mixed,Reinvestor -> Mixed
ICICIBANK,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
ICICIBANK,2021,2022,Reinvestor,Mixed,Reinvestor -> Mixed
ICICIBANK,2022,2023,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
ICICIBANK,2023,2024,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
ICICIGI,2014,2015,Mixed,Unknown,Mixed -> Unknown
ICICIGI,2015,2016,Unknown,Reinvestor,Unknown -> Reinvestor
ICICIGI,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
ICICIGI,2017,2018,Mixed,Reinvestor,Mixed -> Reinvestor
ICICIGI,2021,2022,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
ICICIGI,2022,2023,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ICICIPRULI,2014,2015,Unknown,Reinvestor,Unknown -> Reinvestor
ICICIPRULI,2015,2016,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
ICICIPRULI,2016,2017,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ICICIPRULI,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
ICICIPRULI,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
ICICIPRULI,2023,2024,Reinvestor,Unknown,Reinvestor -> Unknown
INDIGO,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
INDIGO,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
INDIGO,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
INDIGO,2020,2021,Reinvestor,Unknown,Reinvestor -> Unknown
INDIGO,2021,2022,Unknown,Liquidating Assets,Unknown -> Liquidating Assets
INDIGO,2022,2023,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
INDUSINDBK,2016,2017,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
INDUSINDBK,2017,2018,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
INDUSINDBK,2019,2020,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
INDUSINDBK,2020,2021,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
INDUSINDBK,2022,2023,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
INDUSINDBK,2023,2024,Growth Funded by Debt,Pre-Revenue,Growth Funded by Debt -> Pre-Revenue
INFY,2014,2015,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
INFY,2015,2016,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
INFY,2017,2018,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
INFY,2018,2019,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
IOC,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
