company_id,metric_type,raw_text,reason
SBILIFE,compounded_sales_growth,TTM:            43%,Regex pattern did not match
SBILIFE,compounded_profit_growth,TTM:                 18%,Regex pattern did not match
SBILIFE,stock_price_cagr,1 Year:         -2%,Regex pattern did not match
SBILIFE,roe,Last Year:      12%,Regex pattern did not match
TCS,compounded_sales_growth,TTM:            5%,Regex pattern did not match
TCS,compounded_profit_growth,TTM:                 8%,Regex pattern did not match
TCS,roe,Last Year:       52%,Regex pattern did not match
WIPRO,stock_price_cagr,3 Years:      -1%,Regex pattern did not match
WIPRO,compounded_sales_growth,TTM:           -3%,Regex pattern did not match
WIPRO,compounded_profit_growth,TTM:                 1%,Regex pattern did not match
WIPRO,roe,Last Year:       14%,Regex pattern did not match
HDFCBANK,compounded_sales_growth,TTM:            47%,Regex pattern did not match
HDFCBANK,compounded_profit_growth,TTM:                27%,Regex pattern did not match
HDFCBANK,roe,Last Year:    17%,Regex pattern did not match
INFY,compounded_sales_growth,TTM:            3%,Regex pattern did not match
INFY,compounded_profit_growth,TTM:                 8%,Regex pattern did not match
INFY,roe,Last Year:     32%,Regex pattern did not match
